Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
57,,判：ﾍﾏﾄｸﾘｯﾄ,IGNORE,,,,,,,,自動判定
58,,★貧血判定,IGNORE,,,,,,,,自動判定
59,,血小板数,VALUE,069010,,,,,,,
60,,判：血小板数,IGNORE,,,,,,,,自動判定
61,,総ｺﾚｽﾃﾛｰﾙ,VALUE,068705,,,,,,,
62,,判：総ｺﾚｽﾃﾛｰﾙ,IGNORE,,,,,,,,自動判定
63,,HDLｺﾚｽﾃﾛｰﾙ,VALUE,068708,,,,,,,
64,,判：HDLｺﾚｽﾃﾛｰﾙ,IGNORE,,,,,,,,自動判定
65,,LDLｺﾚｽﾃﾛｰﾙ,VALUE,068709,,,,,,,
66,,判：LDLｺﾚｽﾃﾛｰﾙ,IGNORE,,,,,,,,自動判定
67,,中性脂肪,VALUE,R06-0002,,,,,,,
68,,判：中性脂肪,IGNORE,,,,,,,,自動判定
69,,★脂質代謝判定,IGNORE,,,,,,,,自動判定
70,,ＡＳＴ(ＧＯＴ),VALUE,068636,,,,,,,
71,,判：ＡＳＴ(ＧＯＴ),IGNORE,,,,,,,,自動判定
72,,ＡＬＴ(ＧＰＴ),VALUE,068637,,,,,,,
73,,判：ＡＬＴ(ＧＰＴ),IGNORE,,,,,,,,自動判定
74,,γ－ＧＴＰ,VALUE,068652,,,,,,,
75,,判：γ－ＧＴＰ,IGNORE,,,,,,,,自動判定
76,,★肝機能判定,IGNORE,,,,,,,,自動判定
77,,尿素窒素,VALUE,068673,,,,,,,
78,,判：尿素窒素,IGNORE,,,,,,,,自動判定
79,,ｸﾚｱﾁﾆﾝ,VALUE,068674,,,,,,,
80,,判：ｸﾚｱﾁﾆﾝ,IGNORE,,,,,,,,自動判定
81,,尿酸,VALUE,068675,,,,,,,
82,,判：尿酸,IGNORE,,,,,,,,自動判定
83,,★腎機能判定,IGNORE,,,,,,,,自動判定
84,,血糖,VALUE,068682,,,,,,,
85,,判：血糖,IGNORE,,,,,,,,自動判定
86,,ﾍﾓｸﾞﾛﾋﾞﾝA1c,VALUE,068689,,,,,,,
87,,判：ﾍﾓｸﾞﾛﾋﾞﾝA1c,IGNORE,,,,,,,,自動判定
88,,★糖代謝判定,IGNORE,,,,,,,,自動判定
89,,総蛋白,VALUE,068603,,,,,,,
90,,判：総蛋白,IGNORE,,,,,,,,自動判定
91,,総ﾋﾞﾘﾙﾋﾞﾝ,VALUE,068782,,,,,,,
92,,判：総ﾋﾞﾘﾙﾋﾞﾝ,IGNORE,,,,,,,,自動判定
93,,ﾍﾟﾌﾟｼﾉｹﾞﾝ1/2比,IGNORE,,,,,,,,★ペプシノゲン1/2比(068662)。城西のコースに枠が無いので取り込めない
94,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ1/2比,IGNORE,,,,,,,,自動判定
95,,ﾍﾟﾌﾟｼﾉｹﾞﾝ2,IGNORE,,,,,,,,★ペプシノゲン2(068661)。枠なし
96,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ2,IGNORE,,,,,,,,自動判定
97,,ﾍﾟﾌﾟｼﾉｹﾞﾝ1,IGNORE,,,,,,,,★ペプシノゲン1(068660)。枠なし
98,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ1,IGNORE,,,,,,,,自動判定
99,,ﾍﾟﾌﾟｼﾉｹﾞﾝ判定,IGNORE,,,,,,,,★ペプシノゲン判定。枠なし
100,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ判定,IGNORE,,,,,,,,自動判定
101,,ﾋﾟﾛﾘ抗体,IGNORE,,,,,,,,★ピロリ抗体(068205/068206)。枠なし
102,,判：ﾋﾟﾛﾘ抗体,IGNORE,,,,,,,,自動判定
103,,ＰＳＡ(前立腺),IGNORE,,,,,,,,★PSA(067818)。城西のコースに枠が無いので取り込めない(6人)
104,,判：ＰＳＡ(前立腺),IGNORE,,,,,,,,自動判定
105,,ＰＳＡ(ﾀﾝﾃﾞﾑ法),IGNORE,,,,,,,,PSAタンデム法(067835)。今回は空
106,,高血圧,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
107,,糖尿病,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
108,,脂質異常症,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
109,,痛風,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
110,,脳血管障害,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
111,,心臓病,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
112,,慢性腎不全,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
113,,胃・十二指腸の病気,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
114,,肝臓病,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
115,,胆石,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
116,,大腸・肛門の病気,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
117,,呼吸器系の病気,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
118,,貧血症,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
119,,甲状腺の病気,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
120,,婦人科的病気,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
121,,耳の病気,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
122,,皮膚病,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
123,,腰痛症,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
124,,その他,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
125,,その他の腎疾患,IGNORE,,,,,,,,既往歴(1)。健診ナビに受け皿が無いため手入力
126,,高血圧,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
127,,糖尿病,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
128,,脂質異常症,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
129,,痛風,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
130,,脳血管障害,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
131,,心臓病,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
132,,慢性腎不全,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
133,,胃・十二指腸の病気,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
134,,肝臓病,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
135,,胆石,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
136,,大腸・肛門の病気,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
137,,呼吸器系の病気,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
138,,貧血症,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
139,,甲状腺の病気,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
140,,婦人科的病気,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
141,,耳の病気,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
142,,皮膚病,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
143,,腰痛症,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
144,,その他,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
145,,その他の腎疾患,IGNORE,,,,,,,,既往歴(2)。健診ナビに受け皿が無いため手入力
146,,妊娠中・妊娠疑い,MONSHIN,083003,,,,,,,
147,,生理中,MONSHIN,083002,,,,,,,
148,,咳や痰がでる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
149,,鼻づまり・鼻汁がでる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
150,,息苦しい,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
151,,めまいがする,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
152,,頭が痛い・重い,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
153,,手足がしびれる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
154,,動悸・息切れがする,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
155,,胸をしめつける痛み,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
156,,顔や足がむくむ,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
157,,胃もたれ・胸やけ,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
158,,尿に血がまじる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
159,,手足の関節が痛む,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
160,,眠れない,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。詰める処理が未実装のため手入力
161,,飲酒（頻度）,MONSHIN,084018,,,TOS_SYU,,,,
162,,飲酒量,MONSHIN,084019,,,TOS_RYO,,,,
163,,喫煙,MONSHIN,084008,,,TOS_KIT,,,,
164,,咀嚼,MONSHIN,H30-0061,,,TOS_SOS,,,,
165,,血圧を下げる薬,MONSHIN,084001,,,,,,,
166,,血糖を下げる薬,MONSHIN,084002,,,,,,,
167,,ｺﾚｽﾃﾛｰﾙを下げる薬,MONSHIN,084003,,,,,,,
168,,既往歴１（脳血管）,MONSHIN,084004,,,,,,,
169,,既往歴２（心血管）,MONSHIN,084005,,,,,,,
170,,既往歴３（腎不全),MONSHIN,084006,,,,,,,
171,,貧血,MONSHIN,084007,,,,,,,
172,,20歳からの体重変化,MONSHIN,084009,,,,,,,
173,,30分以上の運動習慣,MONSHIN,084010,,,,,,,
174,,歩行又は身体活動,MONSHIN,084011,,,,,,,
175,,歩行速度,MONSHIN,084012,,,,,,,
176,,睡眠,MONSHIN,084020,,,,,,,
177,,食べ方（早食い等）,MONSHIN,084014,,,TOS_TAB,,,,
178,,食べ方２（就寝前）,MONSHIN,084015,,,,,,,
179,,食べ方３（間食),MONSHIN,H30-0062,,,TOS_KAN,,,,
180,,食習慣（朝食）,MONSHIN,084017,,,,,,,
181,,生活習慣の改善,MONSHIN,084021,,,TOS_KAI,,,,
182,,保健指導の受診歴,MONSHIN,R06-0004,,,,,,,
183,,結果値 超音波番号,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
184,,結果値 超音波判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
185,,結果値 超音波①-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
186,,結果値 超音波①-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
187,,結果値 超音波①-3,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
188,,結果値 超音波①-4,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
189,,結果値 超音波①判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
190,,結果値 判：①判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
191,,結果値 超音波②-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
192,,結果値 超音波②-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
193,,結果値 超音波②-3,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
194,,結果値 超音波②-4,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
195,,結果値 超音波②判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
196,,結果値 判：②判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
197,,結果値 超音波③-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
198,,結果値 超音波③-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
199,,結果値 超音波③-3,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
200,,結果値 超音波③-4,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
201,,結果値 超音波③判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
202,,結果値 判：③判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
203,,結果値 眼底番号,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
204,,結果値 ｷｰｽﾜｸﾞﾅｰ,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
205,,結果値 眼底　H,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
206,,結果値 眼底　S,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
207,,結果値 SCOTT,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
208,,結果値 所見①-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
209,,結果値 所見①-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
210,,結果値 所見②-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
211,,結果値 所見②-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
212,,結果値 眼底所見判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
213,,結果値 眼底総合判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
