Col,Col2,Label,Kind,KOMOKU_CD,SYOKEN_CD,SYOKEN_CD2,CodeMap,IfEmpty,ReqCol,Format,Note
48,46,胸部所見②-1,SHOKENCD2,077010B,ZK020,ZK021,TOS_XRC,,,,胸部X線2。部位=46列。今回は空
49,,胸部所見②-2,IGNORE,,,,,,,,今回は空
50,,胸部部位③-1,IGNORE,,,,,,,,胸部部位③-1。★077010Cの有無が未確認。今回は空
51,,胸部部位③-2,IGNORE,,,,,,,,今回は空
52,,胸部所見③-1,IGNORE,,,,,,,,★胸部所見③。077010Cの有無が未確認。今回は空
53,,胸部所見③-2,IGNORE,,,,,,,,今回は空
54,,胸部判定,HANTEI,077010A,,,TOS_HANTEI,,,,所見マスタに判定記号があるのは正常側だけなので、判定はファイルの値を直接書く
55,,判：胸部判定,IGNORE,,,,,,,,自動判定
56,,超音波番号,IGNORE,,,,,,,,検体番号
57,,眼底番号,IGNORE,,,,,,,,検体番号
58,,胃部フィルム№,IGNORE,,,,,,,,胃部X線のフィルムNoは健診ナビに枠が無い(胸部は077010Zがある)
59,,胃部撮影区分,IGNORE,,,,,,,,撮影区分
60,,胃部部位①-1,IGNORE,,,,,,,,胃部部位①-1 → 62列(胃部X線1)の部位として使う
61,,胃部部位①-2,IGNORE,,,,,,,,今回は空
62,60,胃部所見①-1,SHOKENCD2,077300A,ZK030,ZK031,TOS_IX,,,,胃部X線1。部位=60列。慢性胃炎は健診ナビの「胃炎」に寄せる
63,,胃部所見①-2,IGNORE,,,,,,,,今回は空
64,,胃部部位②-1,IGNORE,,,,,,,,胃部部位②-1 → 66列(胃部X線2)の部位として使う
65,,胃部部位②-2,IGNORE,,,,,,,,今回は空
66,64,胃部所見②-1,SHOKENCD2,077300B,ZK030,ZK031,TOS_IX,,,,胃部X線2。部位=64列
67,,胃部所見②-2,IGNORE,,,,,,,,今回は空
68,,胃部判定,HANTEI,077300A,,,TOS_HANTEI,,,,所見マスタに判定記号があるのは正常側だけなので、判定はファイルの値を直接書く
69,,判：胃部判定,IGNORE,,,,,,,,自動判定
70,,心電図番号,IGNORE,,,,,,,,検体番号
71,,心電図所見①,SHOKENCD,067112A,ZK011,,TOS_ECG,,,,心電図所見1。所見リストZK011、変換は TOS_ECG
72,,心電図所見②,SHOKENCD,067112B,ZK011,,TOS_ECG,,,,心電図所見2。所見リストZK011、変換は TOS_ECG
73,,心電図所見③,SHOKENCD,067112C,ZK011,,TOS_ECG,,,,心電図所見3。所見リストZK011、変換は TOS_ECG
74,,心電図判定,HANTEI,067112A,,,TOS_HANTEI,,,,所見マスタに判定記号があるのは正常側だけなので、判定はファイルの値を直接書く
75,,判：心電図判定,IGNORE,,,,,,,,自動判定
76,,便潜血番号,IGNORE,,,,,,,,検体番号
77,,便潜血（１回目）,MONSHIN,069245,,,BENSEN,,,,
78,,便潜血（２回目）,MONSHIN,069246,,,BENSEN,,,,
79,,★便潜血判定,IGNORE,,,,,,,,自動判定
80,,他覚所見①,SHOKENCD,017101A,SHIN,,TOS_SHIN,,,,
81,,他覚所見②,SHOKENCD,017101B,SHIN,,,,,,
82,,他覚所見③,SHOKENCD,017101C,SHIN,,,,,,
83,,他覚所見判定,HANTEI,017101A,,,TOS_HANTEI,,,,所見マスタに判定記号があるのは正常側だけなので、判定はファイルの値を直接書く
84,,判：他覚所見判定,IGNORE,,,,,,,,自動判定
85,,採血番号,IGNORE,,,,,,,,検体番号
86,,白血球数,VALUE,069003,,,,,,,
87,,判：白血球数,IGNORE,,,,,,,,自動判定
88,,赤血球数,VALUE,069004,,,,,,,
89,,判：赤血球数,IGNORE,,,,,,,,自動判定
90,,ﾍﾓｸﾞﾛﾋﾞﾝ,VALUE,069005,,,,,,,
91,,判：ﾍﾓｸﾞﾛﾋﾞﾝ,IGNORE,,,,,,,,自動判定
92,,ﾍﾏﾄｸﾘｯﾄ,VALUE,069006,,,,,,,
93,,判：ﾍﾏﾄｸﾘｯﾄ,IGNORE,,,,,,,,自動判定
94,,★貧血判定,IGNORE,,,,,,,,自動判定
95,,血小板数,VALUE,069010,,,,,,,
96,,判：血小板数,IGNORE,,,,,,,,自動判定
97,,総ｺﾚｽﾃﾛｰﾙ,VALUE,068705,,,,,,,
98,,判：総ｺﾚｽﾃﾛｰﾙ,IGNORE,,,,,,,,自動判定
99,,HDLｺﾚｽﾃﾛｰﾙ,VALUE,068708,,,,,,,
100,,判：HDLｺﾚｽﾃﾛｰﾙ,IGNORE,,,,,,,,自動判定
101,,LDLｺﾚｽﾃﾛｰﾙ,VALUE,068709,,,,,,,
102,,判：LDLｺﾚｽﾃﾛｰﾙ,IGNORE,,,,,,,,自動判定
103,,中性脂肪,VALUE,R06-0002,,,,,,,
104,,判：中性脂肪,IGNORE,,,,,,,,自動判定
105,,★脂質代謝判定,IGNORE,,,,,,,,自動判定
106,,ＡＳＴ(ＧＯＴ),VALUE,068636,,,,,,,
107,,判：ＡＳＴ(ＧＯＴ),IGNORE,,,,,,,,自動判定
108,,ＡＬＴ(ＧＰＴ),VALUE,068637,,,,,,,
109,,判：ＡＬＴ(ＧＰＴ),IGNORE,,,,,,,,自動判定
110,,γ－ＧＴＰ,VALUE,068652,,,,,,,
111,,判：γ－ＧＴＰ,IGNORE,,,,,,,,自動判定
112,,★肝機能判定,IGNORE,,,,,,,,自動判定
113,,尿素窒素,VALUE,068673,,,,,,,★尿素窒素 → 解決 (check29で枠98人ぶん確認)
114,,判：尿素窒素,IGNORE,,,,,,,,自動判定
115,,ｸﾚｱﾁﾆﾝ,VALUE,068674,,,,,,,
116,,判：ｸﾚｱﾁﾆﾝ,IGNORE,,,,,,,,自動判定
117,,尿酸,VALUE,068675,,,,,,,
118,,判：尿酸,IGNORE,,,,,,,,自動判定
119,,★腎機能判定,IGNORE,,,,,,,,自動判定
120,,血糖,VALUE,068682,,,,,,,
121,,判：血糖,IGNORE,,,,,,,,自動判定
122,,ﾍﾓｸﾞﾛﾋﾞﾝA1c,VALUE,068689,,,,,,,
123,,判：ﾍﾓｸﾞﾛﾋﾞﾝA1c,IGNORE,,,,,,,,自動判定
124,,★糖代謝判定,IGNORE,,,,,,,,自動判定
125,,総蛋白,VALUE,068603,,,,,,,★総蛋白 → 解決
126,,判：総蛋白,IGNORE,,,,,,,,自動判定
127,,総ﾋﾞﾘﾙﾋﾞﾝ,VALUE,068782,,,,,,,★総ビリルビン → 解決
128,,判：総ﾋﾞﾘﾙﾋﾞﾝ,IGNORE,,,,,,,,自動判定
129,,ﾍﾟﾌﾟｼﾉｹﾞﾝ1/2比,VALUE,,,,,,,,★ペプシノゲン1/2比。項目コード未確定(1人)
130,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ1/2比,IGNORE,,,,,,,,自動判定
131,,ﾍﾟﾌﾟｼﾉｹﾞﾝ2,VALUE,,,,,,,,★ペプシノゲン2。項目コード未確定(1人)
132,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ2,IGNORE,,,,,,,,自動判定
133,,ﾍﾟﾌﾟｼﾉｹﾞﾝ1,VALUE,,,,,,,,★ペプシノゲン1。項目コード未確定(1人)
134,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ1,IGNORE,,,,,,,,自動判定
135,,ﾍﾟﾌﾟｼﾉｹﾞﾝ判定,IGNORE,,,,,,,,★ペプシノゲン判定。項目コード未確定
136,,判：ﾍﾟﾌﾟｼﾉｹﾞﾝ判定,IGNORE,,,,,,,,自動判定
137,,ﾋﾟﾛﾘ抗体,IGNORE,,,,,,,,★ピロリ抗体。項目コード未確定(1人)
138,,判：ﾋﾟﾛﾘ抗体,IGNORE,,,,,,,,自動判定
139,,ＰＳＡ(前立腺),VALUE,,,,,,,,★PSA。項目コード未確定(6人)
140,,判：ＰＳＡ(前立腺),IGNORE,,,,,,,,自動判定
141,,ＰＳＡ(ﾀﾝﾃﾞﾑ法),IGNORE,,,,,,,,PSAタンデム法。今回は空
142,,ALB/BCP,VALUE,068604,,,,,,,ALB/BCP → ｱﾙﾌﾞﾐﾝ。解決
143,,ALP/IFCC,VALUE,068645,,,,,,,ALP/IFCC。クリニックの実データもIFCC(平均71・範囲13〜217)なので、そのまま入れてよい
144,,LAP,VALUE,068651,,,,,,,★LAP → 解決
145,,AFP/CLIA,VALUE,,,,,,,,★AFP。項目コード未確定(3人)
146,,CA19-9/C,VALUE,,,,,,,,★CA19-9。項目コード未確定(5人)
147,,CEA/CLIA,VALUE,,,,,,,,★CEA。項目コード未確定(5人)
148,,CA125/C,VALUE,,,,,,,,★CA125。項目コード未確定(2人)
149,,CA15-3/C,VALUE,,,,,,,,★CA15-3。項目コード未確定(2人)
150,,SCCｺｳｹﾞﾝ,VALUE,,,,,,,,★SCC抗原。項目コード未確定(2人)
151,,FSH ｾﾞﾝ,VALUE,,,,,,,,★FSH。項目コード未確定(1人)
152,,ｴｽﾄﾗｼﾞｵﾙ,VALUE,,,,,,,,★エストラジオール。項目コード未確定(1人)
153,,高血圧,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
154,,糖尿病,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
155,,脂質異常症,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
156,,痛風,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
157,,脳血管障害,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
158,,心臓病,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
159,,慢性腎不全,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
160,,胃・十二指腸の病気,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
161,,肝臓病,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
162,,胆石,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
163,,大腸・肛門の病気,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
164,,呼吸器系の病気,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
165,,貧血症,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
166,,甲状腺の病気,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
167,,婦人科的病気,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
168,,耳の病気,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
169,,皮膚病,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
170,,腰痛症,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
171,,その他,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
172,,その他の腎疾患,IGNORE,,,,,,,,既往歴(1)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
173,,高血圧,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
174,,糖尿病,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
175,,脂質異常症,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
176,,痛風,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
177,,脳血管障害,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
178,,心臓病,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
179,,慢性腎不全,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
180,,胃・十二指腸の病気,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
181,,肝臓病,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
182,,胆石,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
183,,大腸・肛門の病気,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
184,,呼吸器系の病気,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
185,,貧血症,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
186,,甲状腺の病気,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
187,,婦人科的病気,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
188,,耳の病気,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
189,,皮膚病,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
190,,腰痛症,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
191,,その他,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
192,,その他の腎疾患,IGNORE,,,,,,,,既往歴(2)。T_KIOU(人ごとの表)に入る。既往歴取込.ps1 で取り込む
193,,妊娠中・妊娠疑い,IGNORE,,,,,,,,健診ナビの城西コースに枠が無い。対応表に残すと「枠なし」がエラー扱いになり、該当者(女性)の書込が丸ごと中止されるため外した
194,,生理中,IGNORE,,,,,,,,健診ナビの城西コースに枠が無い。対応表に残すと「枠なし」がエラー扱いになり、該当者(女性)の書込が丸ごと中止されるため外した
195,,咳や痰がでる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
196,,鼻づまり・鼻汁がでる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
197,,息苦しい,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
198,,めまいがする,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
199,,頭が痛い・重い,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
200,,手足がしびれる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
201,,動悸・息切れがする,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
202,,胸をしめつける痛み,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
203,,顔や足がむくむ,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
204,,胃もたれ・胸やけ,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
205,,尿に血がまじる,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
206,,手足の関節が痛む,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
207,,眠れない,IGNORE,,,,,,,,自覚症状。健診ナビは10枠(017107A〜J)。自覚症状取込.ps1 で取り込む
208,,飲酒（頻度）,MONSHIN,084018,,,TOS_SYU,,,,
209,,飲酒量,MONSHIN,084019,,,TOS_RYO,,,,
210,,喫煙,MONSHIN,084008,,,TOS_KIT,,,,
211,,咀嚼,MONSHIN,H30-0061,,,TOS_SOS,,,,
212,,血圧を下げる薬,MONSHIN,084001,,,,,,,
213,,血糖を下げる薬,MONSHIN,084002,,,,,,,
214,,ｺﾚｽﾃﾛｰﾙを下げる薬,MONSHIN,084003,,,,,,,
215,,既往歴１（脳血管）,MONSHIN,084004,,,,,,,
216,,既往歴２（心血管）,MONSHIN,084005,,,,,,,
217,,既往歴３（腎不全),MONSHIN,084006,,,,,,,
218,,貧血,MONSHIN,084007,,,,,,,
219,,20歳からの体重変化,MONSHIN,084009,,,,,,,
220,,30分以上の運動習慣,MONSHIN,084010,,,,,,,
221,,歩行又は身体活動,MONSHIN,084011,,,,,,,
222,,歩行速度,MONSHIN,084012,,,,,,,
223,,睡眠,MONSHIN,084020,,,,,,,
224,,食べ方（早食い等）,MONSHIN,084014,,,TOS_TAB,,,,
225,,食べ方２（就寝前）,MONSHIN,084015,,,,,,,
226,,食べ方３（間食),MONSHIN,H30-0062,,,TOS_KAN,,,,
227,,食習慣（朝食）,MONSHIN,084017,,,,,,,
228,,生活習慣の改善,MONSHIN,084021,,,TOS_KAI,,,,
229,,保健指導の受診歴,MONSHIN,R06-0004,,,,,,,
230,,結果値 超音波番号,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
231,,結果値 超音波判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
232,,結果値 超音波①-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
233,,結果値 超音波①-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
234,,結果値 超音波①-3,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
235,,結果値 超音波①-4,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
236,,結果値 超音波①判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
237,,結果値 判：①判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
238,,結果値 超音波②-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
239,,結果値 超音波②-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
240,,結果値 超音波②-3,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
241,,結果値 超音波②-4,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
242,,結果値 超音波②判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
243,,結果値 判：②判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
244,,結果値 超音波③-1,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
245,,結果値 超音波③-2,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
246,,結果値 超音波③-3,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
247,,結果値 超音波③-4,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
248,,結果値 超音波③判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
249,,結果値 判：③判定,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
250,,結果値 眼底番号,IGNORE,,,,,,,,超音波・眼底。今回は番号のみで中身は空
